# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8880439      0.83513808      0.66100220
       1.8880510      0.87245032      0.39823848
       1.8880580      0.94789500      0.29363430
       1.8880651       1.0486706      0.33444556
       1.8880721       1.0389694      0.45847190
       1.8880792       1.0180307      0.58002507
       1.8880862      0.98661757      0.66729200
       1.8880933      0.94549310      0.71654003
       1.8881003      0.92988630      0.73046347
       1.8881073      0.99261575      0.72196210
       1.8881144       1.1457203      0.70308437
       1.8881214       1.3649300      0.69181535
       1.8881285       1.5418267      0.70718333
       1.8881355       1.5873809      0.75972980
       1.8881425       1.4917481      0.84632419
       1.8882903      0.94910297      0.74758667
       1.8882974      0.72242111      0.49444509
       1.8883044      0.50953052      0.32266311
       1.8883114      0.35590998      0.26767396
       1.8883184      0.36752734      0.34896065
       1.8883255      0.52289316      0.47048453
       1.8883325      0.77552539      0.59301075
       1.8883395      0.83834369      0.68396240
       1.8883466      0.61308815      0.75193615
       1.8883536      0.36502820      0.80671147
       1.8883606      0.21825731      0.85792884
       1.8883677      0.35882018      0.85322163
       1.8883747      0.53691011      0.78230699
       1.8883817      0.71920501      0.66651216
       1.8883888      0.84155075      0.54302198
       1.8883958      0.85771275      0.45084555
       1.8884028      0.88818340      0.40252803
       1.8884098      0.96552925      0.37673341
       1.8884169       1.0880741      0.39486638
       1.8884239       1.1606261      0.46885835
       1.8884309       1.1614637      0.53586620
       1.8884379       1.2583226      0.50668859
       1.8884450       1.3329457      0.42766467
       1.8884520       1.3893228      0.44561053
       1.8884590       1.2786483      0.60532305
       1.8884660       1.0963230      0.82018090
       1.8885854       1.7792042      0.89947164
       1.8885924       1.7978806      0.68026144
       1.8885995       1.7835014      0.44504370
       1.8886065       1.8477334      0.29552092
       1.8886135       1.8947632      0.24750917
       1.8886205       1.9065173      0.26401915
       1.8886275       1.8025904      0.25357635
       1.8886345       1.6906113      0.20551460
       1.8886416       1.5458168      0.19842534
       1.8886486       1.3775276      0.27242714
       1.8886556       1.1867664      0.41370327
       1.8886626       1.0321775      0.53417488
       1.8886696      0.93701460      0.58048166
       1.8886766      0.91274248      0.54510287
